dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTh1,96,2021,SRSNet_RandomSP_NoShuffle_HypernetAF,0.4364,0.4523,0.4360,+0.08,0.4531,-0.18
ETTh1,96,2022,SRSNet_RandomSP_NoShuffle_HypernetAF,0.4363,0.4521,0.4359,+0.08,0.4523,-0.05
ETTh1,96,2023,SRSNet_RandomSP_NoShuffle_HypernetAF,0.4363,0.4522,0.4364,-0.02,0.4534,-0.26
ETTh1,96,2024,SRSNet_RandomSP_NoShuffle_HypernetAF,0.4361,0.4520,0.4365,-0.09,0.4535,-0.33
ETTh1,96,2025,SRSNet_RandomSP_NoShuffle_HypernetAF,0.4363,0.4522,0.4350,+0.29,0.4531,-0.21
ETTh1,720,2021,SRSNet_RandomSP_NoShuffle_HypernetAF,0.6545,0.5994,0.6577,-0.48,0.6025,-0.51
ETTh1,720,2022,SRSNet_RandomSP_NoShuffle_HypernetAF,0.6529,0.5986,0.6621,-1.38,0.6065,-1.30
ETTh1,720,2023,SRSNet_RandomSP_NoShuffle_HypernetAF,0.6600,0.6035,0.6582,+0.28,0.6033,+0.03
ETTh1,720,2024,SRSNet_RandomSP_NoShuffle_HypernetAF,0.6527,0.5981,0.6643,-1.75,0.6065,-1.38
ETTh1,720,2025,SRSNet_RandomSP_NoShuffle_HypernetAF,0.6526,0.5984,0.6598,-1.09,0.6039,-0.91
ETTm2,96,2021,SRSNet_RandomSP_NoShuffle_HypernetAF,0.1484,0.2523,0.1464,+1.35,0.2515,+0.32
ETTm2,96,2022,SRSNet_RandomSP_NoShuffle_HypernetAF,0.1484,0.2523,0.1483,+0.06,0.2525,-0.08
ETTm2,96,2023,SRSNet_RandomSP_NoShuffle_HypernetAF,0.1483,0.2522,0.1477,+0.41,0.2530,-0.31
ETTm2,96,2024,SRSNet_RandomSP_NoShuffle_HypernetAF,0.1484,0.2525,0.1487,-0.21,0.2538,-0.50
ETTm2,96,2025,SRSNet_RandomSP_NoShuffle_HypernetAF,0.1483,0.2524,0.1494,-0.73,0.2539,-0.59
ETTm2,720,2021,SRSNet_RandomSP_NoShuffle_HypernetAF,0.2700,0.3449,0.2673,+1.01,0.3441,+0.23
ETTm2,720,2022,SRSNet_RandomSP_NoShuffle_HypernetAF,0.2737,0.3471,0.2631,+4.04,0.3436,+1.01
ETTm2,720,2023,SRSNet_RandomSP_NoShuffle_HypernetAF,0.2674,0.3424,0.2702,-1.04,0.3494,-2.01
