dataset,horizon,seed,variant,mse_norm,mae_norm
ETTm1,192,2025,SRSNet_TASP,0.3753877687359574,0.4064263681185588
ETTm1,336,2021,SRSNet,0.4165160759224156,0.4426979426411453
ETTm1,336,2022,SRSNet,0.4127894077146209,0.4374624347546112
ETTm1,336,2023,SRSNet,0.4278648322055831,0.4444256312324985
ETTm1,336,2024,SRSNet,0.4159739201354305,0.439750371180184
ETTm1,336,2025,SRSNet,0.4155319888029569,0.440144097570246
ETTm1,336,2021,SRSNet_HypernetAF,0.4192815853697119,0.4395833261266106
ETTm1,336,2022,SRSNet_HypernetAF,0.4210012106172345,0.4414734159717278
ETTm1,336,2023,SRSNet_HypernetAF,0.4235109658298968,0.4422244954809243
ETTm1,336,2024,SRSNet_HypernetAF,0.4239889844616127,0.4415531679213431
ETTm1,336,2025,SRSNet_HypernetAF,0.4255077191563181,0.4420136168657477
ETTm1,336,2021,SRSNet_RandomSP,0.4284739309554028,0.4429624398565248
ETTm1,336,2022,SRSNet_RandomSP,0.4278910694310885,0.4429534980447103
ETTm1,336,2023,SRSNet_RandomSP,0.426385972604747,0.4420621534628959
ETTm1,336,2024,SRSNet_RandomSP,0.4265319572061558,0.442004503218147
ETTm1,336,2025,SRSNet_RandomSP,0.4263838194658695,0.4412438026400242
ETTm1,336,2021,SRSNet_RandomSPNoShuffle,0.4314680358931279,0.4439380463227338
ETTm1,336,2022,SRSNet_RandomSPNoShuffle,0.4292816479857776,0.4438445167202744
ETTm1,336,2023,SRSNet_RandomSPNoShuffle,0.4275618421708275,0.4428105516230229
ETTm1,336,2024,SRSNet_RandomSPNoShuffle,0.4268022172458784,0.4423132200963435
ETTm1,336,2025,SRSNet_RandomSPNoShuffle,0.4266310122314265,0.4413956045399725
ETTm1,336,2021,SRSNet_TASP,0.4290468548025209,0.4449058066389491
ETTm1,336,2022,SRSNet_TASP,0.424514142839122,0.4416018028634215
ETTm1,336,2023,SRSNet_TASP,0.4244542184637764,0.4429513111802845
ETTm1,336,2024,SRSNet_TASP,0.4287170993252625,0.4466836843987775
ETTm1,336,2025,SRSNet_TASP,0.4225685364719117,0.4430323755264463
ETTm1,720,2021,SRSNet,0.5056663718825201,0.4846105114165663
